行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
西区,安治川,１丁目,,,,,火金,,月,,,木,,,,火,,
西区,安治川,２丁目,,,,,火金,,月,,,木,,,,火,,
西区,阿波座,１丁目,,,,,月木,,火,,,金,,,水,,,
西区,阿波座,２丁目,,,,月木,,,,火,,,金,,水,,,
西区,立売堀,１丁目,,,,,月木,,火,,,金,,,水,,,
西区,立売堀,２丁目,,,,月木,,,,火,,,金,,水,,,
西区,立売堀,３丁目,1番,,,月木,,,,火,,,金,,水,,,
西区,立売堀,３丁目,2番,,,月木,,,,火,,,金,,水,,,
西区,立売堀,３丁目,3番,,,月木,,,,火,,,金,,水,,,
西区,立売堀,３丁目,4番,,,月木,,,,火,,,金,,水,,,
西区,立売堀,３丁目,5番,,,月木,,,,火,,,金,,水,,,
西区,立売堀,３丁目,5番,ジュネーゼ立売堀,,,月木,,,火,,,金,,水,,,
西区,立売堀,３丁目,6番,,,月木,,,,火,,,金,,水,,,
西区,立売堀,３丁目,7番,,,月木,,,,火,,,金,,水,,,
西区,立売堀,３丁目,8番,,,月木,,,,火,,,金,,水,,,
西区,立売堀,４丁目,,,,月木,,,,火,,,金,,水,,,
西区,立売堀,５丁目,,,,火金,,,,月,,,木,,水,,,
西区,立売堀,６丁目,,,,火金,,,,月,,,木,,水,,,
西区,靭本町,１丁目,1番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,2番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,3番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,4番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,5番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,6番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,7番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,8番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,9番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,10番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,11番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,12番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,13番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,14番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,15番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,16番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,17番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,18番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,19番,靭パークサイドコーポ,,水土,,,火,,,金,,,木,,,
西区,靭本町,１丁目,19番,上記以外,,,水土,,火,,,金,,,木,,,
西区,靭本町,１丁目,20番,,,,水土,,火,,,金,,,木,,,
西区,靭本町,２丁目,,,,,水土,,火,,,金,,,木,,,
西区,靭本町,３丁目,,,,水土,,,,火,,,金,,木,,,
西区,江戸堀,１丁目,,,,水土,,,火,,,金,,,木,,,
西区,江戸堀,２丁目,,,,水土,,,,火,,,金,,木,,,
西区,江戸堀,３丁目,1番,ローレルコート中之島,,,火金,,,月,,,木,,木,,,
西区,江戸堀,３丁目,1番,上記以外,,水土,,,,月,,,木,,木,,,
西区,江戸堀,３丁目,2番,,,水土,,,,月,,,木,,木,,,
西区,江戸堀,３丁目,3番,,,水土,,,,月,,,木,,木,,,
西区,江戸堀,３丁目,4番,,,水土,,,,月,,,木,,木,,,
西区,江戸堀,３丁目,5番,,,水土,,,,月,,,木,,木,,,
西区,江戸堀,３丁目,6番,,,水土,,,,月,,,木,,木,,,
西区,江戸堀,３丁目,7番,,,水土,,,,月,,,木,,木,,,
西区,江戸堀,３丁目,8番,,,水土,,,,月,,,木,,木,,,
西区,江之子島,１丁目,1番,,,火金,,,,月,,,木,,,,,
西区,江之子島,１丁目,2番,,,火金,,,,月,,,木,,,木,,
西区,江之子島,１丁目,3番,,,火金,,,,月,,,木,,,木,,
西区,江之子島,１丁目,4番,,,火金,,,,月,,,木,,,木,,
西区,江之子島,１丁目,5番,,,火金,,,,月,,,木,,,木,,
西区,江之子島,１丁目,6番,,,火金,,,,月,,,木,,,木,,
西区,江之子島,１丁目,7番,,,火金,,,,月,,,木,,,木,,
西区,江之子島,１丁目,8番,,,火金,,,,月,,,木,,,木,,
西区,江之子島,１丁目,9番,エスリード阿波座･マツダファミリーハイツ阿波座,,,火金,,,月,,,木,,,木,,
西区,江之子島,１丁目,9番,上記以外,,火金,,,,月,,,木,,,木,,
西区,江之子島,１丁目,10番,ノバ阿波座　,,,火金,,,月,,,木,,,木,,
西区,江之子島,１丁目,10番,上記以外,,火金,,,,月,,,木,,,木,,
西区,江之子島,２丁目,1番,69号･70号,,,火金,,,月,,,木,,,木,,
西区,江之子島,２丁目,1番,上記以外,,,火金,,,月,,,木,,,,,
西区,江之子島,２丁目,2番,,,火金,,,,月,,,木,,,木,,
西区,川口,１丁目,1番,,,,火金,,,月,,,木,,,木,,
西区,川口,１丁目,2番,,,,火金,,,月,,,木,,,木,,
西区,川口,１丁目,3番,,,火金,,,,月,,,木,,,木,,
西区,川口,１丁目,4番,,,火金,,,,月,,,木,,,木,,
西区,川口,１丁目,5番,,,火金,,,,月,,,木,,,木,,
西区,川口,１丁目,6番,,,火金,,,,月,,,木,,,木,,
西区,川口,２丁目,,,,火金,,,,月,,,木,,,木,,
西区,川口,３丁目,,,,火金,,,,月,,,木,,,木,,
西区,川口,４丁目,,,,火金,,,,月,,,木,,,木,,
西区,北堀江,１丁目,1番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,2番,,,月木,,,火,,,金,,,,水,,
西区,北堀江,１丁目,3番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,4番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,5番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,6番,フォレステージュ北堀江,,月木,,,火,,,金,,,,水,,
西区,北堀江,１丁目,6番,上記以外,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,7番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,8番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,9番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,10番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,11番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,12番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,13番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,14番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,15番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,16番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,17番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,18番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,19番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,20番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,21番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,22番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,１丁目,23番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,1番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,2番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,3番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,4番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,5番,21号,,月木 ,,,火,,,金,,,,水,,
西区,北堀江,２丁目,5番,上記以外,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,6番,6号･8号,,月木 ,,,火,,,金,,,,水,,
西区,北堀江,２丁目,6番,上記以外,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,7番,8号･10号･11号,,月木 ,,,火,,,金,,,,水,,
西区,北堀江,２丁目,7番,上記以外,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,8番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,9番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,10番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,11番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,12番,北側,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,12番,上記以外,,月木,,,火,,,金,,,,水,,
西区,北堀江,２丁目,13番,南側,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,13番,上記以外,,月木 ,,,火,,,金,,,,水,,
西区,北堀江,２丁目,14番,北側,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,14番,上記以外,,月木 ,,,火,,,金,,,,水,,
西区,北堀江,２丁目,15番,西側,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,15番,上記以外,,月木 ,,,火,,,金,,,,水,,
西区,北堀江,２丁目,16番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,２丁目,17番,,,,月木,,火,,,金,,,,水,,
西区,北堀江,３丁目,1番,17号,,,月木,,,火,,,金,,,水,,
西区,北堀江,３丁目,1番,上記以外,,月木,,,,火,,,金,,,水,,
西区,北堀江,３丁目,2番,,,月木,,,,火,,,金,,,水,,
西区,北堀江,３丁目,3番,,,月木,,,,火,,,金,,,水,,
西区,北堀江,３丁目,4番,,,月木,,,,火,,,金,,,水,,
西区,北堀江,３丁目,5番,,,月木,,,,火,,,金,,,水,,
西区,北堀江,３丁目,6番,,,月木,,,,火,,,金,,,水,,
西区,北堀江,３丁目,7番,40号,,,月木,,,火,,,金,,,水,,
西区,北堀江,３丁目,7番,上記以外,,月木,,,,火,,,金,,,水,,
西区,北堀江,３丁目,8番,,,月木,,,,火,,,金,,,水,,
西区,北堀江,３丁目,9番,,,月木,,,,火,,,金,,,水,,
西区,北堀江,３丁目,10番,,,月木,,,,火,,,金,,,水,,
西区,北堀江,３丁目,11番,,,月木,,,,火,,,金,,,水,,
西区,北堀江,３丁目,12番,,,月木,,,,火,,,金,,,水,,
西区,北堀江,４丁目,,,,月木,,,水,,,土,,,,水,,
西区,京町堀,１丁目,,,,水土,,,火,,,金,,,木,,,
西区,京町堀,２丁目,,,,水土,,,,火,,,金,,木,,,
西区,京町堀,３丁目,,,,水土,,,,火,,,金,,木,,,
西区,九条,１丁目,ナインモール九条商店街内　　　,,,火金,,,月,,,木,,,,木,,
西区,九条,１丁目,1番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,2番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,3番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,4番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,5番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,6番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,7番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,8番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,9番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,10番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,11番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,12番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,13番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,14番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,15番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,16番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,17番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,18番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,19番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,20番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,21番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,22番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,23番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,24番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,25番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,26番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,27番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,28番,,,火金,,,,月,,,木,,,木,,
西区,九条,１丁目,29番,,,火金,,,,月,,,木,,,木,,
西区,九条,２丁目,1番,,,,火金,,月,,,木,,,,木,,
西区,九条,２丁目,2番,北側･東側,,,火金,,月,,,木,,,木,,,
西区,九条,２丁目,2番,西側,,火金,,,月,,,木,,,,木,,
西区,九条,２丁目,2番,南側,,火金,,,月,,,木,,,木,,,
西区,九条,２丁目,3番,西側,,火金,,,月,,,木,,,,木,,
西区,九条,２丁目,3番,南側,,火金,,,,月,,,木,,,木,,
西区,九条,２丁目,3番,北側,,火金,,,月,,,木,,,木,,,
西区,九条,２丁目,4番,西側･南側,,火金,,,月,,,木,,,,木,,
